DATE,simulated_DO,aerator_on,pred_DO_delta_raw,pred_DO_delta_effective,aerator_boost_h,pred_DO_delta_applied
2018-07-15 00:00:00,0.4044077015384836,True,-0.0146810106206474,-0.0146810106206474,0.286,
2018-07-15 01:00:00,0.6757266909178361,True,-0.0146810106206474,-0.0146810106206474,0.286,
2018-07-15 02:00:00,0.9477011949760774,True,-0.0140254959417586,-0.0140254959417586,0.286,
2018-07-15 03:00:00,1.2282259560839512,True,-0.0054752388921262,-0.0054752388921262,0.286,
2018-07-15 04:00:00,1.510948222721517,True,-0.0032777333624342,-0.0032777333624342,0.286,
2018-07-15 05:00:00,1.7632951145474323,True,-0.0336531081740847,-0.0336531081740847,0.286,
2018-07-15 06:00:00,2.002891083951075,True,-0.0464040305963571,-0.0464040305963571,0.286,
2018-07-15 07:00:00,2.202110300017539,True,-0.0867807839335358,-0.0867807839335358,0.286,
2018-07-15 08:00:00,2.401329516084003,True,-0.0867807839335358,-0.0867807839335358,0.286,
2018-07-15 09:00:00,2.6005487321504672,True,-0.0867807839335358,-0.0867807839335358,0.286,
2018-07-15 10:00:00,2.8194147841877353,True,-0.0671339479627317,-0.0671339479627317,0.286,
2018-07-15 11:00:00,3.0382808362250033,False,-0.0671339479627317,-0.0671339479627317,0.0,-0.0671339479627317
2018-07-15 12:00:00,2.9968615969594548,True,-0.0414192392655487,-0.0414192392655487,0.286,
2018-07-15 13:00:00,3.268518853932687,True,-0.0143427430267678,-0.0143427430267678,0.286,
2018-07-15 14:00:00,3.5545560945214514,True,7.448117752863102e-05,3.724058876431551e-05,0.286,
2018-07-15 15:00:00,3.8408093207505742,False,0.0005064524582461,0.00025322622912305,0.0,0.00025322622912305
2018-07-15 16:00:00,3.832812096118212,False,-0.007997224632362,-0.007997224632362,0.0,-0.007997224632362
2018-07-15 17:00:00,3.78924062852488,False,-0.0435714675933321,-0.0435714675933321,0.0,-0.0435714675933321
2018-07-15 18:00:00,3.745669160931548,False,-0.0435714675933321,-0.0435714675933321,0.0,-0.0435714675933321
2018-07-15 19:00:00,3.664807343104715,False,-0.080861817826833,-0.080861817826833,0.0,-0.080861817826833
2018-07-15 20:00:00,3.631607853783748,False,-0.0331994893209669,-0.0331994893209669,0.0,-0.0331994893209669
2018-07-15 21:00:00,3.598408364462781,False,-0.0331994893209669,-0.0331994893209669,0.0,-0.0331994893209669
2018-07-15 22:00:00,3.5682395177853867,False,-0.0301688466773941,-0.0301688466773941,0.0,-0.0301688466773941
2018-07-15 23:00:00,3.5416077712336884,False,-0.0266317465516981,-0.0266317465516981,0.0,-0.0266317465516981
2018-07-16 00:00:00,3.4737622406640294,False,-0.067845530569659,-0.067845530569659,0.0,-0.067845530569659
2018-07-16 01:00:00,3.431145619700679,False,-0.0426166209633501,-0.0426166209633501,0.0,-0.0426166209633501
2018-07-16 02:00:00,3.388528998737329,False,-0.0426166209633501,-0.0426166209633501,0.0,-0.0426166209633501
2018-07-16 03:00:00,3.375332924387987,False,-0.0131960743493419,-0.0131960743493419,0.0,-0.0131960743493419
2018-07-16 04:00:00,3.3658000045071486,False,-0.0095329198808383,-0.0095329198808383,0.0,-0.0095329198808383
2018-07-16 05:00:00,3.36836887748039,False,0.0051377459464826,0.0025688729732413,0.0,0.0025688729732413
